"","Species","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia alternata",99,NA,27825,17648,210209,9030,88,131353,32816,47280,7214,NA,224251,78251,146104,12989,150,181591,45560,131575,15811,NA,155463,42217,147027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acizzia solanicola",135171,NA,46148,164470,135638,377742,182,79929,175900,170167,440073,13,252272,361635,360856,969377,757,553979,1142360,349441,1048190,11,473438,1055195,354403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Acizzia spp.",NA,NA,NA,NA,504,NA,NA,304,NA,139,NA,NA,608,207,353,11,NA,325,63,352,12,NA,329,65,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Aphis aurantii/craccivora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,NA,NA,654,NA,NA
"5","Bactericera cockerelli",234,NA,59758,658,NA,795,NA,2701,75,NA,22,NA,9187,3311,NA,1225,16,64038,355,6,901,NA,51861,70,NA,34066,3,NA,33639,NA,NA,172226,53,NA,77
"6","Metopolophium dirhodum",NA,2308,2108,3928,27234,NA,6327,7264,5328,15651,NA,2070,16392,36243,20045,338,17709,4812,38811,79276,NA,14379,4273,37910,74245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Metopolophium spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Myzus persicae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA
"9","Psychomora spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1304,833,3079,84,1890,209,48,39,35,NA
"10","Rhopalosiphum nymphaeae/padi",NA,38182,4952,2136,3469,NA,63702,12811,1486,8737,NA,37807,15012,7111,8738,143,138944,6848,9034,9843,NA,118912,8280,8589,8882,NA,NA,481,NA,462,34,NA,1131,NA,NA
"11","Rhopalosiphum spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,138,925,NA,NA,793,NA,NA,NA,NA,2705
"12","Simulium spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
"13",NA,NA,785,315,646,2645,NA,370,277,321,634,2,89,1013,1252,935,22,1002,904,2466,2445,NA,835,887,2344,2010,11439,7804,32104,2385,19342,2116,461,95850,239225,48490
