"","Genus","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia",197700,NA,197272,198351,572258,169407,25,145520,148802,130871,281865,NA,483907,264709,395586,16497,23,18464,16493,18528,14541,NA,16721,12502,10775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Aleiodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,NA,NA,NA,NA,NA,28,NA
"3","Anapodisma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA
"4","Aphelinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,41
"5","Atheta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,NA,966,NA,7452,33,2162,NA,NA,2759
"6","Bactericera",658,NA,31567,814,NA,52,NA,244,34,NA,NA,NA,1890,144,NA,81,NA,5401,20,NA,40,NA,5008,NA,NA,1023,NA,NA,59,NA,NA,5068,NA,NA,NA
"7","Carpophilus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA
"8","Cortinicara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,129,NA,NA,428
"9","Ctenarytaina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1964,NA
"10","Diuraphis",NA,718,3009,4041,NA,NA,1010,39,177,NA,757,165,107,483,NA,NA,NA,81,511,NA,NA,NA,80,284,NA,26301,NA,NA,1713,837,7830,3487,9302,3006,12871
"11","Eolachesilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,365,NA,NA,NA,NA,2,2112,NA,NA
"12","Gabrius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA
"13","Heterococcus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Limothrips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416,688,18,NA,NA,NA,NA,NA,NA
"15","Linepithema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617,NA,NA
"16","Melaphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26117,4621,8824,6079,8108,652,11526,221,233,2451
"17","Mocyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
"18","Propsocus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4620,11171,79252,277,95533,8271,NA,NA,149,660
"19","Pseudolycoriella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA
"20","Psychomora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"21","Rhizoecus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
"22","Rhopalosiphum",NA,195456,175620,27370,72885,8,477434,105007,11582,51115,NA,363669,135512,47592,34415,67,31785,6127,15136,2961,NA,31127,6237,7022,2579,647,574,545,362,3265,381,NA,3418,NA,363
"23","Sericoderus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,63,NA,624
"24","Sycophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
"25","Tachyporus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429,NA,NA,493,NA,850
"26","Thrips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
"27","Valenzuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,6,16698,33669,35157,162755,8,7572,9142,6721,8969,33,3386,19504,20128,16154,97,3127,4172,25325,11816,NA,2617,4161,15560,10196,23453,31471,55370,8221,70505,1550,27441,66501,4028,7766
