"","Genus","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia",0.991871413532953,NA,0.236551778760985,0.533622028857278,0.498481872718533,0.986153747741384,NA,0.380506925655622,0.662640610717419,0.399346943396574,0.992610568150265,NA,0.458387312626512,0.433924441610411,0.519311155811645,0.979984034068034,0.00621443168151187,0.419953671340747,0.439451425355436,0.384974102099024,0.993750675686474,NA,0.417754109708417,0.450441080143041,0.384068003736339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acyrthosiphon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00101672111538885,NA,NA,NA,NA,NA,NA,NA
"3","Amischa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00018706747902807
"4","Anapodisma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00144186437097797,NA,NA,NA,NA
"5","Aphelinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00181392891766946
"6","Aphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0303523401406593,NA,NA,0.0562248318281881,NA,0.0037792084751266
"7","Aploneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00341090593483921,NA,NA,NA,0.00062993637504861,NA,NA,0.0212076086751273,NA,0.00147426989424503
"8","Artoriopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126587567320062,NA,NA,NA,NA,NA
"9","Atheta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00247160447796574,NA,0.00563951005566583,NA,0.0365284707382063,0.00169934015150975,0.083043570464607,NA,NA,0.122064143508537
"10","Bactericera",0.00812858646704656,NA,0.308664072599019,0.00618368272945436,NA,0.0138462522586163,NA,0.00973856227172932,0.00115817590319022,NA,NA,NA,0.018815157036272,0.00830130928183075,NA,0.0067765915539007,NA,0.187401726445449,0.000371083845445529,NA,0.00624932431352639,NA,0.185616792461674,NA,NA,0.361408141603127,NA,NA,0.450608824284895,NA,NA,0.632526439872784,0.00382080069524952,NA,0.00824573643190631
