"","Genus","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia",0.996246901869937,NA,0.348928751429624,0.721071495147953,0.636954742792891,0.997725449545585,NA,0.474718465198257,0.805760900205377,0.51006377578456,0.998667182812837,NA,0.640010615816329,0.670385315008373,0.739794525106076,0.996192725761652,0.000513458444458311,0.766817994933506,0.810042592560986,0.586142757498256,0.998641568655777,NA,0.777554217401752,0.804910076127788,0.591553767993226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acyrthosiphon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00138886165630739,NA,NA,NA,NA,NA,NA,NA
"3","Amischa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000140394508569079
"4","Anapodisma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000302843483997967,NA,NA,NA,NA
"5","Aphelinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000137051782174577
"6","Aphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00369205101930474,NA,NA,0.0109903978987942,NA,0.0056726066914697
"7","Aploneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00156150517945691,NA,NA,NA,0.000218845423041076,NA,NA,0.00693807241655723,NA,0.00110644243658012
"8","Artoriopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0439776314231132,NA,NA,NA,NA,NA
"9","Atheta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000813283947633808,NA,0.00315680084704221,NA,0.0191863069706129,0.000356922677569032,0.00537433939375861,NA,NA,0.0092225821224307
"10","Bactericera",0.00375309813006332,NA,0.163989958710528,0.00351900897954015,NA,0.00227455045441491,NA,0.00552698360395364,0.000402699235446737,NA,NA,NA,0.0101054405440049,0.00507268868741699,NA,0.00177328696717188,NA,0.0925061908977211,0.000208931313389319,NA,0.00135843134422322,NA,0.0898118002064639,NA,NA,0.286550142440874,NA,NA,0.589493146441571,NA,NA,0.840838019101029,0.000409325806286562,NA,0.000257389932376645
"11","Bradysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000650314046129815,0.000571129869124139,NA,NA,NA,NA,NA,NA
"12","Brevicoryne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00827520338376,NA,NA
"13","Carpophilus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000199778177334132,NA,NA,NA,NA,NA,NA,NA,NA
