"","Order","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Araneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000288134884304549,0.063825683206922,NA,NA,0.0440986400687947,0.101030749429465,NA,0.00103354766087357,0.0239815101371595,0.00527147952412947
"2","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0201415578802567,0.0808481616963234,0.00315680084704221,0.0594071865561837,0.178670552674806,0.00125463729084872,0.00717655773810412,0.00492896491736735,NA,0.0202936919410209
"3","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00665963369690999,0.0108086882840432,0.0252478709567786,0.0571033067451406,0.0248891612298598,0.449765837091837,0.000817834255571962,0.0439513584500196,0.00092844396741886,0.00456950698128408
"4","Hemiptera",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.876989641086175,0.495222546000647,0.503771167885597,0.864845504530318,0.252071307562783,0.274722303341013,0.889189672916014,0.402561697337677,0.323519922037046,0.843343127521669
"5","Hymenoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0457483838886126,0.0901688470043607,0.00279406286151252,0.00373654456749013,0.015993738446249,0.00201174600084364,NA,0.00670271007794246,0.0189376230517492,0.00216942943003172
"6","Lepidoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00716154607602114,NA,NA,NA,NA,0.0580269747017532,0.100111364664589,NA,NA,NA
"7","Neuroptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168702574459324,NA,NA,NA,0.00270457042572126,0.213105247897941,NA,NA
"8","Orthoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000302843483997967,NA,NA,NA,NA
"9","Psocoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0214706962175325,0.0794703811629845,0.258909956013934,0.00268140633470146,0.245964232933919,0.0894578020052565,NA,0.00720413419064349,0.000490560819664575,0.00220619942037124
"10","Thysanoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00639008815997992,0.00321022864267951,0.0022483219283282,0.00779253465499884,NA,NA,NA,NA,NA,0.000397784440945724
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0151503181102069,0.176445464002039,0.0351692450474827,0.00443351661116704,0.238312367083589,0.0234271066549856,NA,0.320512339467535,0.632141939986962,0.121748780740548
