"","Species","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia alternata",0.000414911435132376,NA,0.0753289789884512,0.0424501604269829,0.223510912657772,0.0207349091566932,NA,0.187011364576811,0.0731165621379064,0.066378526080054,0.0144417779830604,NA,0.149494332946551,0.061214468005585,0.101893027046223,0.0129773966698571,NA,0.128424188521799,0.0268255774793487,0.104205701504365,0.0141115587561951,NA,0.131480856864152,0.0250732394887508,0.113504166579284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acizzia alternata/solanicola",0.43010646071307,NA,0.26830959871861,0.377011464094093,0.400324929457978,0.465033003884894,NA,0.305942304583973,0.447859385246537,0.369815420425319,0.460293837729685,NA,0.384580741939004,0.414214317987356,0.445468347175314,0.443212968066481,NA,0.313410219121582,0.193016592881681,0.347938549544634,0.442679320541916,NA,0.301813822441881,0.234767536484144,0.299814829106629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Acizzia solanicola",0.498276369831327,NA,0.110373208577531,0.301824965959612,0.118720943062549,0.475771276959735,NA,0.103739463058794,0.305619421256806,0.214861140349492,0.48470575511217,NA,0.148137658353373,0.233189640819658,0.206531981039127,0.481069553768462,0.00250733569931003,0.273972307478047,0.437693853015982,0.222832141203223,0.48431957392497,NA,0.27739254353493,0.416759331193031,0.227023414180622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Acizzia spp.",0.069158037221337,NA,0.0111354709981587,0.0390126165133343,0.00601760477819898,0.0349669961151062,NA,0.00614913785272189,0.0224278992534121,0.00819265623979554,0.038700881336125,NA,0.0157631112067841,0.0187237949742033,0.0161978919568287,0.0558966183094153,NA,0.00634961169792416,NA,0.00154875944640246,0.057320679458084,NA,0.00712585523169324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Acyrthosiphon kondoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000997775776184938,NA,NA,NA,NA,NA,NA,NA
"6","Acyrthosiphon spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000291144299433903,NA,NA,NA,NA,NA,NA,NA
"7","Amischa analis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000120046889873733
"8","Anapodisma spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000962847471189276,NA,NA,NA,NA
"9","Aphelinus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00116405334668336
"10","Aphis aurantii/craccivora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0335118261384386,NA,NA,0.0572298054221959,NA,NA
