"","Species","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia alternata",0.000446905974175219,NA,0.0464227906255452,0.0422017283768241,0.182294406096761,0.0197182726621484,NA,0.196771520922057,0.0950408547962438,0.0801969736077951,0.0124114660106398,NA,0.16972129151675,0.0845177426806029,0.137624272075624,0.016204536010323,NA,0.211024926497904,0.0368860877052456,0.172916308644097,0.0177195261988464,NA,0.212667107370514,0.0364803492109765,0.185987460183057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acizzia alternata/solanicola",0.388249565064722,NA,0.229450976021091,0.316023185714336,0.347572851922416,0.260020071504736,NA,0.166137832042756,0.271685833232659,0.168562194833409,0.327793588607124,NA,0.277017128829984,0.219158738522839,0.282235394278187,0.0127288235680073,NA,0.0153063643204321,0.0096279080443264,0.0185275416232828,0.0105670363296252,NA,0.0164810175927463,0.00798549045781518,0.0108614571993065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Acizzia solanicola",0.545122682530309,NA,0.0635322368038459,0.330144945887103,0.0969915982134491,0.698435545050294,NA,0.105169146085182,0.425428730864595,0.253796433718354,0.630901688024947,NA,0.170651722038831,0.346835840503551,0.299363656599453,0.965654047197253,0.000513458444458311,0.539598042012772,0.763528596811414,0.394263214823651,0.968986725129831,NA,0.547313958177136,0.760444236458997,0.394704850610862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Acizzia spp.",0.0624277483007312,NA,0.00952274797914203,0.0327016351696897,0.0100958865602649,0.0195515603284068,NA,0.00663996614826255,0.0136054813118791,0.00750817362500269,0.0275604401701265,NA,0.0226204734307646,0.0198729933013801,0.0205712021528127,0.00160531898606828,NA,0.000888662102396974,NA,0.000435692407225822,0.00136828099747438,NA,0.00109213426135526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Acyrthosiphon kondoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0010751423174709,NA,NA,NA,NA,NA,NA,NA
"6","Acyrthosiphon spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000313719338836493,NA,NA,NA,NA,NA,NA,NA
"7","Amischa analis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000140394508569079
"8","Anapodisma spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000302843483997967,NA,NA,NA,NA
"9","Aphelinus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000137051782174577
"10","Aphis aurantii/craccivora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000934598688987183,NA,NA,0.00223082564426176,NA,NA
"11","Aphis craccivora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00275745233031756,NA,NA,0.00875957225453243,NA,NA
"12","Aphis spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000287474469927162
"13","Aphis varians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00538513222154254
"14","Aploneura spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00156150517945691,NA,NA,NA,0.000218845423041076,NA,NA,0.00693807241655723,NA,0.00110644243658012
"15","Artoriopsis spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0439776314231132,NA,NA,NA,NA,NA
"16","Atheta spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000813283947633808,NA,0.00315680084704221,NA,0.0191863069706129,0.000356922677569032,0.00537433939375861,NA,NA,0.0092225821224307
"17","Bactericera cockerelli",0.00375309813006332,NA,0.163989958710528,0.00351900897954015,NA,0.00227455045441491,NA,0.00552698360395364,0.000402699235446737,NA,NA,NA,0.0101054405440049,0.00507268868741699,NA,0.00177328696717188,NA,0.0925061908977211,0.000208931313389319,NA,0.00135843134422322,NA,0.0898118002064639,NA,NA,0.286550142440874,NA,NA,0.589493146441571,NA,NA,0.840838019101029,0.000409325806286562,NA,0.000257389932376645
"18","Bradysia pallipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000650314046129815,0.000571129869124139,NA,NA,NA,NA,NA,NA
"19","Brevicoryne brassicae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00827520338376,NA,NA
"20","Carpophilus sexpustulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000199778177334132,NA,NA,NA,NA,NA,NA,NA,NA
"21","Cortinicara spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000320670574373201,NA,NA,0.00143068689684681
"22","Ctenarytaina spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00646618422698809,NA
"23","Cypha spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000236867987291518,NA,NA,NA,NA,NA
"24","Diadegma semiclausum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000260250863242819,0.0767423757069736,NA,NA,NA,NA,NA,NA,0.0122179275286929,NA
"25","Diadegma spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00125438706236378,NA
"26","Diuraphis noxia",NA,0.00430321426157784,0.00556947486769923,0.0201327410283737,NA,NA,0.0017274805057431,NA,0.00269808487749314,NA,0.00133281718716309,0.000460419194906727,NA,0.00123162932378587,NA,NA,0.00186934144376104,0.00777730179430446,0.00551166690110133,NA,NA,0.00191039677471475,0.00696119571685362,0.00598384362222001,NA,0.131817062232488,0.00136400272800546,0.00108494604680954,0.0186149616665376,0.0113670887379571,0.21379668386385,0.00993084453194525,0.300622516330394,0.124036163221766,0.382501495870062
"27","Diuraphis spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00704536265493059,NA,NA,0.000822814218229691,NA,0.0111511297143537,0.000432532402642922,0.0227380485392185,0.00190627325225362,0.00733728443593163
"28","Dysaphis aucupariae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00952677022433037
"29","Eolachesilla spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00720413419064349,NA,NA
"30","Erasmoneura spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00142673241099188,0.116119343349798,NA,0.000329125687291876,NA,NA,NA,0.000313816451486364,0.000352281930900064,NA
"31","Gabrius spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00124000248000496,NA,NA,NA,NA,NA,NA,NA,NA
"32","Heterococcus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000985235410847814,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Limothrips denticornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0028657835093448,0.0022483219283282,0.000174243010919229,NA,NA,NA,NA,NA,NA
"34","Linepithema spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00210461685399007,NA,NA
"35","Lipaphis erysimi/pseudobrassicae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00061237793595712,NA
"36","Lonchoptera bifurcata/uniseta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0152264921395873,NA,NA,NA,NA,NA
"37","Melaphis rhois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119422614870548,0.0311998401774581,0.0283131703299935,0.0578777201270038,0.0204736329885016,0.00705192684166694,0.0283830745596373,0.000753841693244419,0.000767118597193597,0.00810611150666707
"38","Melaphis spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00122689692671615,0.000282445009334463,0.000228753684568276,0.000493688530937815,0.000321831504472171,NA,0.000141691649141647,NA,NA,NA
