"","Genus","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia",0.996247295476464,NA,0.348928751429624,0.721099452594855,0.636954742792891,0.997725449545585,0.000104153254073852,0.474718465198257,0.805671292079787,0.51006377578456,0.998667182812837,NA,0.639870881470848,0.670385315008373,0.739794525106076,0.996192725761652,0.000615137955029143,0.766817994933506,0.809958694732357,0.586142757498256,0.998641568655777,NA,0.777554217401752,0.804910076127788,0.591553767993226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acyrthosiphon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00107490696663868,NA,NA,NA,NA,NA,NA,NA
"3","Amischa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014034947018075
"4","Anapodisma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000302810732477532,NA,NA,NA,NA
"5","Aphelinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000137007816128827
"6","Aphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00369078718776944,NA,NA,0.0109891609083282,NA,0.00567078692611269
"7","Aploneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00156099736581695,NA,NA,NA,0.000218770509735288,NA,NA,0.00693729152313454,NA,0.00110608749118639
"8","Artoriopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0439625773739818,NA,NA,NA,NA,NA
"9","Atheta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000813019461362992,NA,0.0031561098169391,NA,0.0191797392770278,0.000356884077562806,0.0053737917046751,NA,NA,0.00921962352925451
"10","Bactericera",0.00375270452353648,NA,0.163989958710528,0.00351865626368293,NA,0.00227455045441491,NA,0.00552698360395364,0.000402654451536702,NA,NA,NA,0.0101032342101015,0.00507268868741699,NA,0.00177328696717188,NA,0.0925061908977211,0.00020890967393025,NA,0.00135843134422322,NA,0.0898118002064639,NA,NA,0.28645695410389,NA,NA,0.589493146441571,NA,NA,0.840752330838655,0.000409279735878144,NA,0.000257307361998042
