"","Genus","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia",0.996247295476464,NA,0.348928751429624,0.721099452594855,0.636954742792891,0.997725449545585,0.000104153254073852,0.474718465198257,0.805671292079787,0.510063775784561,0.998667182812837,NA,0.639870881470848,0.670385315008373,0.739794525106076,0.996192725761652,0.000615137955029143,0.766817994933506,0.809958694732357,0.586142757498256,0.998641568655777,NA,0.777554217401752,0.804910076127788,0.591553767993226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acyrthosiphon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00138877088874801,NA,NA,NA,NA,NA,NA,NA
"3","Amischa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014034947018075
"4","Anapodisma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000302810732477532,NA,NA,NA,NA
"5","Aphelinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000137007816128827
"6","Aphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00369461935630146,NA,NA,0.0109891609083282,NA,0.00567078692611269
"7","Aploneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00156099736581695,NA,NA,NA,0.000218997660589696,NA,NA,0.00693729152313454,NA,0.00110608749118639
"8","Artoriopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0440082240062659,NA,NA,NA,NA,NA
"9","Atheta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000813019461362992,NA,0.00315659453771902,NA,0.019199653726052,0.000356884077562806,0.0053737917046751,NA,NA,0.00921962352925451
"10","Bactericera",0.00375270452353648,NA,0.163989958710528,0.00351865626368293,NA,0.00227455045441491,NA,0.00552698360395364,0.000402654451536702,NA,NA,NA,0.0101032342101015,0.00507268868741699,NA,0.00177328696717188,NA,0.0925061908977211,0.00020890967393025,NA,0.00135843134422322,NA,0.0898118002064639,NA,NA,0.28645695410389,NA,NA,0.589493146441571,NA,NA,0.840752330838655,0.000409279735878144,NA,0.000257307361998042
"11","Brachycaudus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00177077735058635,0.00210766405468816,NA,0.0181175476384323,0.00167627369764348,0.000228671987432983,NA,NA,NA
"12","Bradysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000650271545554953,0.000571129869124139,NA,NA,NA,NA,NA,NA
"13","Brevicoryne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00727153664076836,NA,NA
"14","Carpophilus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000199815343062273,NA,NA,NA,NA,NA,NA,NA,NA
"15","Contarinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.443682611093687,NA,NA,NA,NA
"16","Cortinicara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000320637895422335,NA,NA,0.00143022793422288
"17","Ctenarytaina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00647170277617596,NA
"18","Danaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0621938094516098,NA,NA,NA
"19","Diadegma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000260166227636158,0.0767566524728871,NA,NA,NA,NA,NA,NA,0.0134838125051487,NA
"20","Diuraphis",NA,0.00411369065633934,0.00556947486769923,0.0197561734745016,NA,NA,0.00172711275162024,NA,0.0026977848252959,NA,0.00133281718716309,0.000460369128642175,0.000108237893282385,0.00123162932378588,NA,NA,0.00174436033113005,0.00744890192911218,0.0051756636118776,NA,NA,0.00179344940872335,0.00657858777449026,0.00563670397618737,NA,0.13825512086115,0.00136425648021828,0.00108487514132786,0.0191473708665686,0.0103624540104913,0.217234256545578,0.0103623208218272,0.303992523823491,0.116579619408518,0.369907736931626
"21","Dysaphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00952371404797947
"22","Essigella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000241156448523434,NA,NA,NA,NA,NA,NA,NA,NA
"23","Gabrius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012402331638348,NA,NA,NA,NA,NA,NA,NA,NA
"24","Heterococcus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000984915004622596,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Limothrips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0028663166453071,0.00224817499166737,0.000174243010919229,NA,NA,NA,NA,NA,NA
"26","Linepithema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00210437997530679,NA,NA
"27","Lipaphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00061290056841585,NA
"28","Lonchoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0152370842909113,NA,NA,NA,NA,NA
"29","Melaphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121335024413813,0.0318395413893367,0.0288341513466176,0.0588457368543328,0.0208099306421527,0.00705116419911969,0.0286486231212235,0.000753756846908915,0.000767773292692973,0.00810351107591236
"30","Metopolophium",NA,0.0363312343716484,0.0603495066586543,0.106901384426825,0.214635349970328,NA,0.0264034221783481,0.0688223838687463,0.0886836842498835,0.158033275257577,NA,0.01394115608546,0.0688529071770382,0.169858376162153,0.0961521839069909,0.00103667738337379,0.0403244293188178,0.0258841153588566,0.108457075535265,0.289711189511034,NA,0.0393581743900656,0.0252665622315428,0.109764533196268,0.285880609652837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Mocyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000108146690170547,NA,NA,NA,NA
"32","Myzus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000914058076794521,NA,NA
"33","Nasonovia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00203022574066073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Nysius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000130083113818079,NA,0.0024082921058995,NA,0.0137813939587563,0.0157461580888317,0.00374823214183629,0.0220567670993663,0.0153389900321279,0.00761897123838358
"35","Propsocus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021463713779983,0.0769702481844364,0.258893035232301,0.00268140633470146,0.246135335401358,0.0894481274400597,NA,NA,0.000490979487601944,0.00220549167426893
"36","Psychomora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00605815644352767,0.00575330384334477,0.0100612366269533,0.000813134050956401,0.00486947739428854,0.00226026582456444,0.000119307123878078,0.000133015914160397,NA,NA
"37","Rhopalosiphum",NA,0.949758614508987,0.412681489522554,0.131989174988526,0.116832932504607,NA,0.969947780305306,0.446112798825146,0.0924072792255229,0.320484072186014,NA,0.985323066322626,0.274084322885387,0.140218968354796,0.155051621149641,0.000997309887802637,0.952852083398328,0.100122309556091,0.0633249357529193,0.105269755264195,NA,0.954579797342525,0.0940112059781718,0.0657398102047549,0.104302245877182,0.0115123555729,0.132753179820028,0.0096854515629391,0.00502400681483776,0.0475508332216875,0.00712686688223907,NA,0.0207504826090219,0.000533816624104127,0.302560041169178
"38","Sericoderus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000164047295332357,0.000214871861336026,NA,0.00208519212839972
