"","Genus","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia",0.450734923634971,NA,0.238973724000233,0.348790099229272,0.357353905737577,0.279571631833142,NA,0.172417471573904,0.285259587490101,0.175883504334172,0.355354028777251,NA,0.299196132629148,0.238844957267425,0.302536576932992,0.0143341425540756,NA,0.0159148953042267,0.00962691086147876,0.0186761420498772,0.0119353173270996,NA,0.0172441709009644,0.00798549045781518,0.0108614571993065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Anapodisma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000302810732477532,NA,NA,NA,NA
"3","Aphelinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000137007816128827
"4","Atheta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000813019461362992,NA,0.0031561098169391,NA,0.0191797392770278,0.000356884077562806,0.0053737917046751,NA,NA,0.00921962352925451
"5","Bactericera",0.00150016985205772,NA,0.0382448582007095,0.00143137741061365,NA,NA,NA,0.000289209521630857,NA,NA,NA,NA,0.00116896924744976,0.000129930126465323,NA,NA,NA,0.00465534822021926,NA,NA,NA,NA,0.00516469157777821,NA,NA,0.00475267947985338,NA,NA,0.000571129869124139,NA,NA,0.0125968438294604,NA,NA,NA
"6","Carpophilus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000199750656077586,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cortinicara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000320637895422335,NA,NA,0.00143022793422288
"8","Ctenarytaina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00647170277617596,NA
"9","Diuraphis",NA,0.00105486781830416,0.0036455405431601,0.00710589203475398,NA,NA,0.000577993333047198,NA,0.000339380180580935,NA,0.00095453416337035,0.000167684119704104,NA,0.000435807299185771,NA,NA,NA,NA,0.000300712234868613,NA,NA,NA,NA,0.000181561067169923,NA,0.122189856304617,NA,NA,0.0165821265391466,0.00215424607821689,0.0846788584035386,0.00866716543672621,0.0317260008594874,0.00990526402504325,0.0430104293022961
"10","Eolachesilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00251410308511444,NA,NA,NA,NA,NA,0.00720332335145533,NA,NA
"11","Erasmoneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00142626842650536,0.116103346856682,NA,0.000329125687291876,NA,NA,NA,0.00031378113083991,0.00035258258505643,NA
"12","Gabrius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012398316584126,NA,NA,NA,NA,NA,NA,NA,NA
"13","Heterococcus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000984915004622596,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Limothrips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00286538872166468,0.00224782976610155,0.000174243010919229,NA,NA,NA,NA,NA,NA
"15","Linepithema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00210437997530679,NA,NA
"16","Melaphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121335024413813,0.0318292338529146,0.0288297236280234,0.0588457368543328,0.0207883459662579,0.00705116419911969,0.0286486231212235,0.000753756846908915,0.000767773292692973,0.00810351107591236
"17","Metopolophium",NA,0.0236331528206695,0.039275883459011,0.0591665303868763,0.0970415716650529,NA,0.00410146358212799,0.0102681233028201,0.0120336158944969,0.0115277688154697,NA,0.003332340778847,0.0109765593833285,0.016563384246694,0.0110493814411698,NA,0.00207058012867031,0.00338656973842649,0.014282948439327,0.0112269138622969,NA,0.00191809068037208,0.0040797763342034,0.00942327510593193,0.00984234506673118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Mocyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000108146690170547,NA,NA,NA,NA
