"","Genus","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia",0.23711119268063,NA,0.0203333688720026,0.0520641552499371,0.0632464003498142,0.0797413152777824,NA,0.0515112975432599,0.120219197413808,0.0416693553591018,0.0793095578249735,NA,0.0455681530718842,0.0344477247791188,0.0492001532915224,0.122452157557466,NA,0.11660436263275,0.101267051884336,0.0809265792586153,0.113369508920913,NA,0.111402851099508,0.0953496073422273,0.0752389016571912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acyrthosiphon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00107490696663868,NA,NA,NA,NA,NA,NA,NA
"3","Amischa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014034947018075
"4","Aphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00275650842266462,NA,NA,0.00875858634779228,NA,0.00567078692611269
"5","Aploneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00156099736581695,NA,NA,NA,0.000218770509735288,NA,NA,0.00693729152313454,NA,0.00110608749118639
"6","Artoriopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0439625773739818,NA,NA,NA,NA,NA
"7","Bactericera",0.00171903961770748,NA,0.0533455618663617,0.000930219472008131,NA,0.000962309807637076,NA,0.00203631950066317,0.000258849290273594,NA,NA,NA,0.00325208481645018,0.00195526794479413,NA,0.000701616254401505,NA,0.032653807068096,NA,NA,0.000618886545948222,NA,0.0311634684699086,NA,NA,0.12343958336237,NA,NA,0.263290869666228,NA,NA,0.400076555404488,0.00022851451919863,NA,NA
"8","Bradysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000650171691067164,0.000571129869124139,NA,NA,NA,NA,NA,NA
"9","Brevicoryne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00827427199366981,NA,NA
"10","Diadegma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000260166227636158,0.0767318037484244,NA,NA,NA,NA,NA,NA,0.0134838125051487,NA
"11","Diuraphis",NA,0.00305882283803518,0.00192393432453913,0.0126502814397476,NA,NA,0.00114911941857304,NA,0.00235840464471497,NA,0.000378283023792741,0.000292685008938072,0.000108237893282385,0.000795822024600104,NA,NA,0.00174436033113005,0.00744890192911217,0.00487495137700899,NA,NA,0.00179344940872335,0.00657858777449026,0.00545514290901745,NA,0.0160652645565327,0.00136381482425386,0.0010847085499211,0.00256524432742198,0.00819745968831637,0.13255539814204,0.00169515538510103,0.272266522964004,0.106674355383475,0.32689730762933
"12","Dysaphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00952371404797947
"13","Lipaphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00061290056841585,NA
"14","Lonchoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0152212799361705,NA,NA,NA,NA,NA
"15","Metopolophium",NA,0.00930722510996777,0.0185196851920057,0.0408276667317293,0.10058156604304,NA,0.0186812023405869,0.0499443508727846,0.0664341496992555,0.125465143791271,NA,0.00850514180487056,0.0477378589555105,0.120593203210718,0.0697698255888223,0.000740983749972662,0.0263342796646379,0.0183498811813086,0.0713347091947915,0.198155130758267,NA,0.0263770167650204,0.0167800911865074,0.07610541282128,0.201197532357566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Myzus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000794684820496729,NA,NA
"17","Nasonovia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00203022574066073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Nysius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000130083113818079,NA,0.00240792229304774,NA,0.0137670994891065,0.0157461580888317,0.00374823214183629,0.0220567670993663,0.0153389900321279,0.00761897123838358
"19","Rhopalosiphum",NA,0.606534303772548,0.19391392211216,0.0801043815271425,0.0691370209576163,NA,0.660280698742435,0.306477937699054,0.067350667927039,0.240022262373363,NA,0.577344554280366,0.18101024920074,0.0908671753190506,0.122048813099847,0.000872208735209851,0.837292280730787,0.0890075687118537,0.049190283758185,0.0923910516260121,NA,0.839427419540982,0.0791451857917355,0.0558754184215439,0.0928107737591226,0.00786538256050026,0.12238516059264,0.00622073818990894,0.00151978626190661,0.0328413141673208,0.00263877924016135,NA,0.00515010334313331,0.000533816624104127,0.292307846537879
"20","Tachyporus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000942000077213121,NA,NA,NA,NA,NA
"21","Tetraneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000573177457903901,NA,NA,NA,NA
"22","Therioaphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23181275464931,0.158402270269526,0.347678494999559,0.164533803144118,0.079030203199197,0.00770004434014297,0.00245076716966219,0.000351298439962073,0.000916055688277453,0.0564472202450769
