"","Genus","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia",0.23711119268063,NA,0.0203333688720026,0.0520641552499371,0.0632464003498142,0.0797413152777824,NA,0.0515112975432599,0.120219197413808,0.0416693553591018,0.0793095578249735,NA,0.0455681530718842,0.0344477247791188,0.0492001532915224,0.122452157557466,NA,0.11660436263275,0.101267051884336,0.0809265792586153,0.113369508920913,NA,0.111402851099508,0.0953496073422273,0.0752389016571912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acyrthosiphon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014217089945674,NA,NA,NA,NA,NA,NA,NA
"3","Amischa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000161224074593005
"4","Aphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00367887002699899,NA,NA,0.0129626918786312,NA,0.00651422034724595
"5","Bactericera",0.00171903961770748,NA,0.0533455618663617,0.000930219472008131,NA,0.000962309807637075,NA,0.00203631950066317,0.000258849290273594,NA,NA,NA,0.00325208481645018,0.00195526794479413,NA,0.000701616254401505,NA,0.032653807068096,NA,NA,0.000618886545948222,NA,0.0311634684699086,NA,NA,0.126361945888362,NA,NA,0.280569825256339,NA,NA,0.400676091117965,0.000338201073157435,NA,NA
"6","Brachycaudus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00234204842663556,0.00215765247410817,NA,0.0255975158181106,0.00191445475093561,0.000229014664406391,NA,NA,NA
"7","Bradysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00066569432922097,0.000608611334612449,NA,NA,NA,NA,NA,NA
"8","Brevicoryne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0122459075146259,NA,NA
"9","Contarinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506725294270222,NA,NA,NA,NA
"10","Diadegma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000266325516362374,0.101519141917199,NA,NA,NA,NA,NA,NA,0.0413989862711573,NA
