"","Species","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia alternata",0.000730605738575983,NA,0.197341825119327,0.0931361683712781,0.553917706425645,0.0232991973000797,NA,0.559985505083879,0.152050522882177,0.194882279232342,0.0161283471238824,NA,0.43254206296087,0.16040891964692,0.27206992806452,0.01319923745417,NA,0.223524401187101,0.0367854847513024,0.229656845632898,0.014847375627053,NA,0.223848167463881,0.036830534351145,0.250701237759245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acizzia solanicola",0.997542507970244,NA,0.327293101369513,0.867979692431103,0.357417093769351,0.97464954446586,NA,0.340754161959372,0.815019715229609,0.701407208336081,0.983871652876118,NA,0.486589809219422,0.741325729466896,0.671973840289455,0.985067149558162,0.00478589898402382,0.681905073738397,0.922350007912593,0.609929833135516,0.98430653712736,NA,0.681694221182948,0.920562704471101,0.604305812983939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Acizzia spp.",NA,NA,NA,NA,0.00132808073887667,NA,NA,0.00129601602967195,NA,0.000572940710941107,NA,NA,0.00117272865797793,0.000424335105837785,0.000657344662752393,NA,NA,0.000400049729258653,NA,0.000495706206800251,NA,NA,0.000459321931398326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Aphis aurantii/craccivora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0162430642563093,NA,NA,0.00669320752013591,NA,NA
"5","Bactericera cockerelli",0.0017268862911796,NA,0.423818608642615,0.00347255206189375,NA,0.00205125823406018,NA,0.0115149318952103,0.000347506984890396,NA,NA,NA,0.0177201614816501,0.00678731176535704,NA,0.00124482761423961,NA,0.0788257986531249,0.000286629655107821,NA,0.000846087245586918,NA,0.0746736510478011,NA,NA,0.725966968566862,NA,NA,0.931673406082092,NA,NA,0.997417068198666,0.000542415899949852,NA,0.00150375939849624
"6","Diuraphis noxia",NA,0.00312643901020334,NA,0.00112409360058263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00116328324050249,0.000468981374915528,0.000460222263130868,NA,NA,0.0011341506181867,0.000534195725858241,0.000473718647764449,NA,0.00257858284496537,NA,NA,0.000830886833213316,0.017585466260963,0.301398897838067,NA,0.0580077985078446,0.0120161553320121,0.115750414998535
"7","Metopolophium dirhodum",NA,0.0559365987251884,0.0149504606415648,0.0207297636764721,0.0717637913542998,NA,0.090348284282226,0.0309679619721612,0.0246868962066138,0.0645114753017213,NA,0.0519096220879203,0.0312740500994312,0.0742955422264679,0.0373271211469454,0.000343470802949378,0.111112516042561,0.0059231978375158,0.031336291674337,0.138371849472876,NA,0.107289156177017,0.00615261007167726,0.0330730643402399,0.126597926893939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Metopolophium spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000328143545346645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Myzus persicae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000358199179212167,NA,NA
"10","Psychomora spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0277890250399574,0.085989932885906,0.0865617093055946,0.00232648313299729,0.0845713262931806,0.0885968630775752,0.000277983691623425,0.000399136228264986,NA,NA
"11","Rhopalosiphum nymphaeae/padi",NA,0.92537747509755,0.0351208164596912,0.0112726006142934,0.00914109540310149,NA,0.909651715717774,0.0546159913030503,0.00688527172729505,0.0360128272769241,NA,0.94809037791208,0.0289555964038893,0.0145770383459541,0.016271608110851,0.000145314570478583,0.878430579175966,0.00842935552604078,0.00729411916688467,0.0171804091321651,NA,0.887263936248797,0.0119222118870788,0.00749312977099237,0.0151450304622798,NA,NA,0.0135226314309812,NA,0.0206729908716664,0.0144128868164476,NA,0.0115749506196846,NA,NA
"12","Rhopalosiphum spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00294086307938199,0.0970008389261745,NA,NA,0.0354841596563451,NA,NA,NA,NA,0.0528268723757446
"13",NA,NA,0.0155594871670585,0.00147518776728913,0.00228512924437689,0.00643223230872607,NA,NA,0.000865431756655938,0.00101008696941475,0.00261326914199037,NA,NA,0.00174559117675991,0.00218112344256717,0.00170015772547574,NA,0.00450772255694714,0.00052314195364593,0.00148724457664396,0.00403721287439782,NA,0.00431275695599943,0.000715620689357266,0.00156684841875682,0.00324999190059731,0.240724560468833,0.81700922818792,0.899915659263424,0.0651692239516978,0.825442992661536,0.59559135226791,0.0023049481097109,0.922424292044908,0.987983844667988,0.829918953227224
