"","Species","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia alternata/solanicola",0.858621767719553,NA,0.42934286083485,0.67638401662175,0.688973199471023,0.930066007769788,NA,0.53942127482711,0.847088858861373,0.65676004106518,0.919971122506397,NA,0.69900157350517,0.72939145057882,0.827155318323765,0.888007323771742,NA,0.521006924069945,0.286979861062382,0.552247800409787,0.885358641083832,NA,0.499016393442623,0.355980506711505,0.458764422872227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acizzia spp.",0.138060228327081,NA,0.0178187250770218,0.0699912675589816,0.0193884070748245,0.0699339922302124,NA,0.020388921172844,0.0424205101223289,0.0285256343103773,0.0773499237365212,NA,0.0561294894849893,0.0655185357577214,0.0594972549213018,0.111992676228258,NA,0.0207135312756719,NA,0.00442931179944558,0.114641358916168,NA,0.0231069476971116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Anapodisma spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00149484811275426,NA,NA,NA,NA
"4","Aphelinus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00142986677826603
"5","Atheta spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00212028690510807,NA,0.00664840534625391,NA,0.0400597778757351,0.00176178527574609,0.043370110330993,NA,NA,0.0962195717374625
"6","Bactericera cockerelli",0.00331800395336641,NA,0.0715628110058965,0.00306388232282931,NA,NA,NA,0.000939014112150612,NA,NA,NA,NA,0.00295032219391578,0.000432425939550457,NA,NA,NA,0.158461448186832,NA,NA,NA,NA,0.156377829820453,NA,NA,0.0123945914510032,NA,NA,0.00352976368531259,NA,NA,0.101664994984955,NA,NA,NA
"7","Carpophilus sexpustulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000593897194347737,NA,NA,NA,NA,NA,NA,NA,NA
"8","Cortinicara spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00258776328986961,NA,NA,0.0149264141731185
"9","Ctenarytaina spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21059403817285,NA
"10","Cypha spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000494565158959693,NA,NA,NA,NA,NA
"11","Diuraphis noxia",NA,0.003373251711291,0.0068214432260507,0.0152102561014168,NA,NA,0.00207821068117985,NA,0.00105827065421455,NA,0.00267895375708224,0.000449487175994661,NA,0.00145042867224216,NA,NA,NA,NA,0.00896428320819592,NA,NA,NA,NA,0.00809370457978284,NA,0.317788601337598,NA,NA,0.102482799880347,0.00449946780488329,0.418023597245208,0.0699498495486459,0.112657292688539,0.322324683680034,0.448873543977122
"12","Diuraphis spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000872346612387322,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Eolachesilla spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0255786069832504,NA,NA
"14","Erasmoneura spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00371958902781816,0.345197624411223,NA,0.00203410110679031,NA,NA,NA,0.00111421962237644,0.0114733004503539,NA
"15","Gabrius spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00368625844767561,NA,NA,NA,NA,NA,NA,NA,NA
"16","Heterococcus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00256857613647378,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Limothrips denticornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0085193528568503,0.00473509614722845,0.00107687705653605,NA,NA,NA,NA,NA,NA
"18","Linepithema spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00747253811963328,NA,NA
"19","Melaphis rhois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31134292914607,0.092750358386238,0.059629175900563,0.35770266227939,0.0427476320005161,0.0348086060541349,0.229047141424273,0.00267654931027383,0.0249839159339481,0.0845713887145149
"20","Melaphis spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00319860424542018,0.000839647757526111,0.000481768503351732,0.00305115166018546,0.000671963531195235,NA,0.00114343029087262,NA,NA,NA
"21","Metopolophium dirhodum",NA,0.075573993074968,0.0734920393825562,0.126646742648941,0.192359793758265,NA,0.0147470652990257,0.0333388493998391,0.037523766247743,0.0449150411699386,NA,0.00893253606113026,0.0277033692991658,0.0551252984189427,0.0323827372772496,NA,0.0884978839353006,0.115274028869851,0.425777138446425,0.334639026154032,NA,0.0749819538017324,0.123528493364559,0.420074667274644,0.415719334099715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Propsocus pulchripennis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0559755742948532,0.224042596764284,0.543076986606836,0.0165719413700269,0.509509627893475,0.437830334739202,NA,NA,0.0159768389448853,0.023017367650136
"23","Propsocus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0047306983411837,0.00220237030103649,NA,0.0040479083119201,0.00373712028188564,NA,NA,NA,NA
"24","Rhizoecus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00205761316872428
