"","Genus","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia",0.992802252875758,NA,0.0689852189210963,0.260946203201015,0.24470283425859,0.988076002699773,NA,0.124429161644244,0.453014363746713,0.0998801283786397,0.995252939221799,NA,0.161073810830369,0.132811059587214,0.198375859335725,0.981446942181211,NA,0.431259723036903,0.426383902355626,0.208954327864231,0.994570617970246,NA,0.444294092969309,0.389546925481818,0.195346646078149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acyrthosiphon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0033962505394045,NA,NA,NA,NA,NA,NA,NA
"3","Amischa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000191537682758872
"4","Aphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00594894241023818,NA,NA,0.0227488151658768,NA,0.00773903446766206
"5","Aploneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00391992160156797,NA,NA,NA,0.00047213828652684,NA,NA,0.0180183372458697,NA,0.00150949935698064
"6","Artoriopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0948775773195876,NA,NA,NA,NA,NA
"7","Bactericera",0.00719774712424228,NA,0.180986008122195,0.00466227173376578,NA,0.011923997300227,NA,0.00491887295392923,0.000975405335105922,NA,NA,NA,0.0114954339646567,0.00753841390658211,NA,0.00562341359435695,NA,0.120769681976996,NA,NA,0.00542938202975359,NA,0.124285373497742,NA,NA,0.309977133790657,NA,NA,0.538775429352455,NA,NA,0.895416110369381,0.000593524383221863,NA,NA
"8","Bradysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00159024437021528,0.00116871025889904,NA,NA,NA,NA,NA,NA
"9","Brevicoryne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0214908978163618,NA,NA
"10","Diadegma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000653320266927995,0.128348407166311,NA,NA,NA,NA,NA,NA,0.0740901683867463,NA
"11","Diuraphis",NA,0.00488111370040934,0.00652735075056313,0.0634033702319678,NA,NA,0.00168593711823977,NA,0.00888702638652062,NA,0.0047470607782015,0.000499199201281278,NA,0.0030682423006947,NA,NA,0.00200679595363771,0.0275496671852286,0.0205259336896382,NA,NA,0.00205834902923809,0.0262365609087993,0.0222867634959895,NA,0.0403425264828037,0.00228123739846765,0.0026530710096054,0.0052492918408177,0.0176912993245645,0.171746045090868,0.00379394748553627,0.70716215617664,0.586148832156437,0.44612318609254
"12","Dysaphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0129971999014949
"13","Lipaphis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00336773492667029,NA
"14","Lonchoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0328497156061145,NA,NA,NA,NA,NA
"15","Metopolophium",NA,0.0148519958175279,0.0628319166077506,0.204628780934922,0.389154072781498,NA,0.0274082327130574,0.120644091769334,0.250339585561111,0.300735985976309,NA,0.0145062434566771,0.168743263540148,0.464939591805497,0.281313129755454,0.00593894178855404,0.0302962208723945,0.0678667975823111,0.300354074833927,0.511641200453119,NA,0.0302730071940667,0.0669219442776411,0.31092555494903,0.522379544086472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Myzus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00206404748195066,NA,NA
"17","Nasonovia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00509823136870596,NA,NA,NA,NA,NA,NA,NA,NA,NA
