"","Species","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia alternata",0.000925970120757959,NA,0.0431265516844511,0.0559560741733061,0.197257340625823,0.059640439326693,NA,0.0992335376660263,0.120993612901361,0.0398766482347937,0.0416000759529725,NA,0.109523632539643,0.0536385805378817,0.104289199433741,0.0388029561485927,NA,0.20158246410446,0.042404735534098,0.103045505087152,0.0415988593977274,NA,0.208740858950209,0.0387752596814087,0.0980920725483525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acizzia solanicola",0.991876282755,NA,0.0258586672366452,0.204990129027709,0.0474454936327669,0.92843556337308,NA,0.0251956239782172,0.332020750845351,0.0600034801438459,0.953652863268826,NA,0.0515501782907265,0.0791724790493319,0.0940866599019841,0.942643986032619,NA,0.229677258932442,0.383979166821528,0.105908822777079,0.952971758572519,NA,0.235553234019101,0.350771665800409,0.0972545735297967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Acyrthosiphon kondoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00262909747638607,NA,NA,NA,NA,NA,NA,NA
"4","Acyrthosiphon spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000767153063018428,NA,NA,NA,NA,NA,NA,NA
"5","Amischa analis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000191537682758872
"6","Aphis craccivora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00594894241023818,NA,NA,0.0227488151658768,NA,NA
"7","Aphis spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000392196207553881
"8","Aphis varians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00734683826010817
"9","Aploneura spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00391992160156797,NA,NA,NA,0.00047213828652684,NA,NA,0.0180183372458697,NA,0.00150949935698064
"10","Artoriopsis spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0948775773195876,NA,NA,NA,NA,NA
