fastq_id,SampleID,sra_id,pool_comp,submitted_to_insdc,investigation_type,project_name,experimental_factor,collection_date,biome,feature,material,nucl_acid_ext,nucl_acid_amp,lib_size,lib_const_meth,target_gene,target_subfragment,seq_meth,fcid,seq_run,chimera_check,samp_store_temp
Trap-1_S1_L001_R1_001,Trap-01,SRR14022282,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-1_S1_L001_R2_001,Trap-01,SRR14022282,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-2_S2_L001_R1_001,Trap-02,SRR14022281,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-2_S2_L001_R2_001,Trap-02,SRR14022281,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-3_S3_L001_R1_001,Trap-03,SRR14022280,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-3_S3_L001_R2_001,Trap-03,SRR14022280,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-4_S4_L001_R1_001,Trap-04,SRR14022279,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-4_S4_L001_R2_001,Trap-04,SRR14022279,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-5_S5_L001_R1_001,Trap-05,SRR14022278,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
Trap-5_S5_L001_R2_001,Trap-05,SRR14022278,NA,T,Metabarcoding,Aphid Psylid Metabarcoding,O,10/11/2017,Potato field,Trap,Insect Sample,QuickExtract,Multiplex,,amplicon,COI_12s_18s,,Miseq,BN3MN,run3_trap,DADA2,-20
